,type,fact_check_url,archive,news_url,news_url2,news_url3,news_url4,news_url5,title,newstitle,content,abstract,publish_date,meta_keywords
945,post,https://healthfeedback.org/claimreview/there-is-no-evidence-supporting-the-claim-that-preexisting-t-cell-immunity-reduces-covid-19-mortality-and-infection-rate-such-cross-reactive-t-cells-predate-the-pandemic/,https://archive.is/ANIz3,https://www.youtube.com/watch?v=aHRNvAIFSMU,,,,,The reason why the COVID-19 mortality rate and cases have decreased is due to preexisting immunity from T cells,"""Why is the Covid-19 Death Rate So Low?""",,instant download http://drberg.com/covid-waves covid-19 first and second wave)here are references:1. swedish study about memory t cells and long term .... ,10/28/20,"""coronavirus update, coronavirus news, coronavirus outbreak, covid 19, death rate, case fatality rate, infection fatality rate, coronavirus pandemic, coronavirus explained, coronavirus death rate, coronavirus outbreak in usa, coronavirus news update, case fatality rate vs mortality rate, coronavirus, covid-19, death rate covid, covid-19 virus, covid-19 updates, covid-19 death rate update, covid-19 dr berg, dr berg, eric berg, Why is the Covid-19 Death Rate So Low"""
946,post,https://healthfeedback.org/claimreview/fewer-flu-cases-observed-in-the-start-of-this-years-flu-season-than-in-previous-years-but-donald-trump-jr-s-tweet-suggesting-data-manipulation-is-unsupported-and-cites-inaccurate-fi/,https://archive.vn/PZXdL,https://twitter.com/DonaldJTrumpJr/status/1320732410842091521,,,,,"The U.S. “went from 75,000 flu deaths last year in America to almost 0”; are there “allocation games being played to manipulate the truth?”","""""",this browser is no longer supported. please switch to supported browser to continue using twitter.com. you can see list of supported browsers in our help center. ,,,""""""
947,article,https://healthfeedback.org/claimreview/claim-that-mouthwash-could-reduce-the-spread-of-covid-19-has-not-yet-been-confirmed-by-clinical-trials-in-humans-in/,https://archive.is/yM6lX,https://www.newsnationnow.com/health/coronavirus/some-mouthwashes-could-help-curb-coronavirus/,,,,,Some mouthwashes could help curb coronavirus,"""Study finds coronaviruses ‘inactivated’ by mouthwash""",des moines iowa who new study conducted by researchers at penn state college of medicine has found that mouthwash and oral rinses can inactivate human coronaviruses. products like listerine or crest pro health mouthwashes were found to inactivate 99.9 of coronavirus called 229e that causes common colds. study did not investigate sars cov-2 new coronavirus that has killed over 225.000 americans. according to new york times while two viruses are similar they sh. ,researchers are looking into possibility that certain oral antiseptics and mouthwashes may be able to slow down or inactivate coronaviruses in our mouths .. ,2020-10-26T15:11:48+00:00,"""Nexstar Media Wire and Whitney Blakemore/WHO"""
948,article,https://healthfeedback.org/claimreview/covid-19-is-more-deadly-and-more-contagious-than-seasonal-flu-and-can-also-cause-long-lasting-damage-to-survivors/,https://archive.is/4rNH7,https://www.zerohedge.com/medical/did-who-just-accidentally-confirm-covid-no-more-dangerous-flu,,,,,The World Health Organization confirmed that the coronavirus is no more deadly or dangerous than seasonal flu,"""Zerohedge""",,zerohedge on long enough timeline survival rate for everyone drops to zero. ,,""""""
949,article,https://healthfeedback.org/claimreview/masks-are-effective-at-reducing-covid-19-primary-transmission-through-respiratory-droplets-the-cdc-acknowledges-airborne-transmission-via-aerosols-can-also-occur/,https://archive.is/SbeCt,https://2020electioncenter.com/watch?id=5f695517cafd76087e5c6e40,,,,,The U.S. CDC said that the virus which causes COVID-19 was never airborne; masks are therefore worthless,"""CDC Says Virus Was Never Airborne Rendering Masks Worthless""",confirm to receive notifications when channels you 've subscribed to upload new videos. you can activate this any time from settings page. ,owen breaks down latest update from cdc as they admit they used propaganda to push fear on american people .. ,,""""""
950,post,https://healthfeedback.org/claimreview/claims-that-flu-cases-are-used-to-inflate-covid-19-case-counts-are-misleading-based-on-inaccurate-numbers/,https://archive.vn/JLV1K,https://www.facebook.com/HealthNutNews/photos/a.140543175960878/4137084859640003/,,,,,Fewer flu cases being recorded this year because these cases are being diagnosed as COVID-19,"""Facebook""",,,,""""""
951,post,https://healthfeedback.org/claimreview/a-2008-study-co-authored-by-anthony-fauci-did-not-find-that-masks-caused-bacterial-pneumonia-contrary-to-viral-social-media-claim/,https://archive.is/lfywu,https://www.facebook.com/photo.php?fbid=3584165738342268,,,,,Anthony Fauci co-authored a study published in 2008 showing that Spanish flu deaths were due to bacterial pneumonia from wearing face masks,"""Facebook""",,,,""""""
952,post,https://healthfeedback.org/claimreview/the-group-doctors-for-truth-spreads-misinformation-about-the-impact-of-the-covid-19-pandemic-the-virus-and-the-reliability-of-diagnostic-tests/,,https://www.facebook.com/655922527/videos/10158639455972528/,,,,,The World Doctors Alliance claims that COVID-19 is a type of flu and is not a pandemic; that PCR tests are up to 94% false positive; that only 98 COVID-19 related deaths have been reported in Ireland,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
953,article,https://healthfeedback.org/claimreview/mask-use-does-not-lead-to-a-higher-risk-of-covid-19-as-viral-social-media-posts-claim/,https://archive.is/RMIN8,https://thefederalist.com/2020/10/12/cdc-study-finds-overwhelming-majority-of-people-getting-coronavirus-wore-masks/,,,,,"A CDC study published in September 2020 showed that more people wearing masks had COVID-19, therefore masks don’t work or make us more likely to catch COVID-19","""403 Forbidden""",,,,""""""
954,post,https://www.factcheck.org/2020/10/doctors-in-video-falsely-equate-covid-19-with-a-normal-flu-virus/,,https://www.facebook.com/marius.mina/videos/10158639455972528/,,,,,The novel coronavirus that causes COVID-19 is a “normal flu virus.”,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
955,article,https://healthfeedback.org/claimreview/no-evidence-that-coronavirus-genetic-sequences-were-fabricated-contrary-to-preprint-by-li-meng-yan-and-colleagues/,https://archive.is/hFHaO,https://zenodo.org/record/4073131#.X4gMQi2w3Uo,,,,,The genomic sequences of coronaviruses that support the hypothesis that the virus arose naturally are all fabricated and don’t actually exist,"""SARS-CoV-2 Is an Unrestricted Bioweapon: A Truth Revealed through Uncovering a Large-Scale, Organized Scientific Fraud""",sars cov-2 is unrestricted bioweapon truth revealed through uncovering large scale organized scientific fraud two possibilities should be considered for origin of sars cov-2 natural evolution or laboratory creation. in our earlier report titled unusual features of sars cov-2 genome suggesting sophisticated laboratory modification rather than natural evolution and delineation of its probable synthetic route we disproved possibility of sars cov-2 arising naturally through. ,two possibilities should be considered for origin of sars cov-2 natural evolution or laboratory creation. in our earlier report titled unusual features of sars cov-2 genome suggesting sophisticated laboratory modification rather than natural evolution and delineation of its probable synthetic route we disproved possibility of sars cov-2 arising naturally through evolution and instead proved that sars cov-2 must have been product of laboratory modification. despite this and similar efforts laboratory creation theory continues to be downplayed or even diminished. this is fundamentally because natural origin theory remains supported by several novel coronaviruses published after start of outbreak. these viruses ratg13 bat coronavirus series of pangolin coronaviruses and rmyn02 bat coronavirus reportedly share high sequence homology with sars cov-2 and have altogether constructed seemingly plausible pathway for natural evolution of sars cov-2. here however we use in depth analyses of available data and literature to prove that these novel animal coronaviruses do not exist in nature and their sequences have been fabricated. in addition we also offer our insights on hypothesis that sars cov-2 may have originated naturally from coronavirus that infected mojiang miners. revelation of these virus fabrications renders natural origin theory unfounded. it also strengthens our earlier assertion that sars cov-2 is product of laboratory modification which can be created in approximately six months using template virus owned by laboratory of peoples liberation army pla. fact that data fabrications were used to cover up true origin of sars cov-2 further implicates that laboratory modification here is beyond simple gain of function research. scale and coordinated nature of this scientific fraud signifies degree of corruption in fields of academic research and public health. as result of such corruption damages have been made both to reputation of scientific community and to well being of global community. importantly while sars cov-2 meets criteria of bioweapon specified by pla its impact is well beyond what is conceived for typical bioweapon. in addition records indicate that unleashing of this weaponized pathogen should have been intentional rather than accidental. we therefore define sars cov-2 as anunrestricted bioweaponand current pandemic result ofunrestricted biowarfare. we further suggest that investigations should be carried out on suspected government and individuals and responsible ones be held accountable for this brutal attack on global community. ,8-Oct-20,""""""
956,post,https://healthfeedback.org/claimreview/mortality-in-the-u-s-was-more-than-280000-higher-during-the-first-eight-months-of-2020-than-any-of-the-previous-five-years-over-the-same-period/,https://archive.is/FI5W8,https://www.facebook.com/photo?fbid=10164343626490092&set=a.10150207581245092,,,,,Mortality in the U.S. this year is not materially different from the previous 5 years,"""Facebook""",,,,""""""
957,post,https://healthfeedback.org/claimreview/the-flu-shot-is-an-effective-measure-to-protect-people-from-flu-and-enhances-protection-when-used-with-face-masks/,https://archive.is/S6fqU,https://www.facebook.com/groups/recallgovpritzker/permalink/643374242993384/,,,,,"If face masks work to protect us from viral respiratory illnesses like COVID-19 and the flu and we’ve been walking around in them for months, then why would anyone need a flu shot right now?","""Facebook""",,,,""""""
958,article,https://healthfeedback.org/claimreview/covid-19-vaccines-are-not-expected-to-be-available-for-the-public-before-several-months-contrary-to-viral-claim-on-social-media/,https://archive.is/LGvF0,https://www.shtfplan.com/headline-news/the-government-has-released-their-initial-plans-to-force-a-vaccine-on-everyone,,,,,The U.S. government has released their initial plans to force a vaccine on everyone; three potential vaccines are currently in Stage 3 trials in the U.S. and could be ready in weeks,"""The Government Has Released Their Initial Plans To Force a Vaccine on EVERYONE""",earlier today trump administration released its plans to vaccine everyone in short time. three potential vaccines are currently in stage 3 trials in united states and could be ready in weeks president donald trump said tuesday. time is running out. and trump has military lined up and ready to distribute this vaccine to public whether you want it or not. plan is to distribute vaccine first to health care and other vital workers as well as those most vulnerable like. ,earlier today trump administration released its plans to vaccine everyone in short time. three potential vaccines are currently in stage 3 trials in united states and could be ready in weeks president donald trump said tuesday. ,2020-09-16T20:00:17Z,"""vaccnine,military,donald trump,bloodstream,plans released,covid-19,coronavirus,vaccinated everyone,mandatory,force,department of defense,health care workers,vital workers,americans,bill,federal reserve,free vaccine,toxic concoction,robert redfield,playbook,cdc,prepare,store food,"""
959,post,https://www.factcheck.org/2020/10/trump-campaign-didnt-send-email-fundraising-off-covid-19-diagnosis/,https://archive.is/LCfUh#selection-3029.0-3039.14,https://twitter.com/ZPoet/status/1312002814952927234,,,,,The Trump campaign sent out fundraising email asking to help the presiden after he was diagnosed with COVID-19.,"""""",this browser is no longer supported. please switch to supported browser to continue using twitter.com. you can see list of supported browsers in our help center. ,,,""""""
960,post,https://www.factcheck.org/2020/10/viral-posts-dont-give-full-picture-of-mask-mandates-in-states/,,https://www.facebook.com/FreeMichigan/photos/a.116085330234808/129339968909344/?type=3&theater,https://www.facebook.com/RickyDWilliams2011/posts/3646045695408411,https://www.facebook.com/photo.php?fbid=10157480089536884&set=a.10150214067971884&type=3,,,"“Florida, Georgia,Idaho, South Dakota & Tennessee are now mask free!!!”","""Facebook""",,,,""""""
961,post,https://healthfeedback.org/claimreview/covid-19-is-at-least-an-order-of-magnitude-more-deadly-than-seasonal-flu-according-to-current-estimates/,https://archive.is/vIjuS,https://www.facebook.com/photo.php?fbid=10221034362981736&set=a.1586623418474&type=3&theater,,,,,COVID-19 is less deadly than seasonal flu,"""Facebook""",,,,""""""
962,post,https://healthfeedback.org/claimreview/in-spite-of-its-relatively-small-infection-fatality-ratio-covid-19-has-led-to-many-deaths-due-to-high-virus-transmission/,https://archive.is/Pshot,https://www.facebook.com/PresidentDonaldTrumpFanPage/photos/a.711866182180811/3628284060538994/,,,,,"COVID-19 mortality rates are very low, therefore COVID-19 is not an important public health concern; if you are 70+ years old, you have a 0.054% chance of dying from COVID-19","""Facebook""",,,,""""""
963,post,https://healthfeedback.org/claimreview/there-have-been-more-covid-19-deaths-than-abortions-worldwide-over-two-days-since-june-2020/,https://archive.is/8jacd,https://www.facebook.com/eric.barr.73997/posts/10164094315645297,,,,,More babies die by abortion in two days than all the coronavirus deaths thus far,"""Monsignor Eric Barr""",see more of monsignor eric barr on facebook. ,more babies will die by abortion in two days than all coronavirus deaths thus far. think about that while you wash your hands. ,,""""""
964,post,https://healthfeedback.org/claimreview/covid-19-vaccines-do-not-modify-the-human-genome-and-do-not-involve-hydrogels-hydrogels-are-not-internet-connecting-devices/,https://archive.is/CyaHx,https://www.instagram.com/p/CFNj1dUhZmJ/?utm_source=ig_embed,,,,,Hydrogels are part of the genome-modifying COVID-19 mRNA vaccines’ delivery system and will connect you to the internet,"""Page Not Found • Instagram""",please wait few minutes before you try again .. ,,,""""""
965,post,https://healthfeedback.org/claimreview/using-face-masks-correctly-does-not-increase-the-risk-of-skin-or-oral-infections/,https://archive.is/OIsHy,https://www.facebook.com/photo.php?fbid=10207430673083227&set=p.10207430673083227&type=3&theater,,,,,"Masks are dirty and cause bacterial overgrowth, skin infections, and “mask mouth”, which is a new medical condition caused by wearing masks all day","""Facebook""",,,,""""""
966,post,https://healthfeedback.org/claimreview/no-vaccine-contains-strains-of-both-the-flu-and-the-virus-that-causes-covid-19-covid-19-is-not-the-flu/,https://archive.is/HP66x,https://www.facebook.com/madyson.marquette/posts/10158567100347528,,,,,The U.S. CDC encourages the use of a “[COVID-19] flu shot” on children.,"""Madyson Marquette""",see more of madyson marquette on facebook. ,covid parent warning alert i had to take my son to doctor for ear ache this morning ... when we were done this was my conversation with .... ,,""""""
967,post,https://healthfeedback.org/claimreview/comparisons-of-tuberculosis-and-flu-with-covid-19-omit-important-context-that-explains-the-different-public-health-responses/,https://archive.is/fAjMs,https://www.facebook.com/FockaWhooFockaYoo/posts/10225223137794258,,,,,Why are we wearing masks for COVID-19 when we don’t wear masks for flu and TB which also kill a lot of people?,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
968,post,https://www.factcheck.org/2020/09/report-resurrects-baseless-claim-that-coronavirus-was-bioengineered/,https://archive.is/50p51,https://www.facebook.com/yash.sharma.9404/posts/10217963923196527,https://www.facebook.com/TheVikingChristian/photos/a.1829088784048828/2542557316035301/?type=3&theater,,,,“Coronavirus was created in Wuhan lab and released intentionally.”,"""Sharma Ya""",see more of sharma ya on facebook. ,just now on tucker carlson it was revealed that coronavirus was created in wuhan lab and released intentionally. ,,""""""
969,article,https://www.factcheck.org/2020/10/viral-article-distorts-militarys-role-in-vaccine-distribution/,,https://beforeitsnews.com/survival/2020/09/the-government-has-released-their-initial-plans-to-force-a-vaccine-on-everyone-2760185.html?fbclid=IwAR0kTdEbO78_p1VqouMaVQ-jSgmSKnhLI0aN7zfzeHmOXPiNIHtVhM5K_Bg,,,,,"If you decide you don’t want the COVID-19 vaccine, the military will help convince you.","""The Government Has Released Their Initial Plans to Force a Vaccine on Everyone | Survival | Before It's News""",earlier today trump administration released its plans to vaccine everyone in short time. three potential vaccines are currently in stage 3 trials in united states and could be ready in weeks president donald trump said tuesday. time is running out. and trump has military lined up and ready to distribute this vaccine to public whether you want it or not. plan is to distribute vaccine first to health care and other vital workers as well as those most vulnerable like. ,earlier today trump administration released its plans to vaccine everyone in short time. three potential vaccines are currently in stage 3 trials in united states and could be ready in weeks president donald trump said tuesday. time is running out. and trump has military lined up .... ,9/16/20 17:09,"""Survival,vaccine,released,Trump,Donald Trump,Before Its News,beforeitsnews,survival,Mac"""
970,post,https://healthfeedback.org/claimreview/assessment-of-the-evolution-of-the-number-of-covid-19-cases-is-based-on-sars-cov-2-specific-test-no-confusion-with-flu-or-common-cold-is-possible/,https://archive.is/2BEzB,https://www.facebook.com/michael.bergonzi/posts/10157711748506045,,,,,There is no second wave of COVID-19; this second wave is really just the normal flu/common cold season that happens every year,"""Michael Bergonzi""",see more of michael bergonzi on facebook. ,it 's not second wave of c19 coming soon. it 's normal cold flu season. same as last year. ,,""""""
971,post,https://healthfeedback.org/claimreview/the-virus-causing-covid-19-most-likely-evolved-in-natural-wildlife-populations-before-spreading-to-humans/,https://archive.is/8cPJC,https://www.youtube.com/watch?v=qFlqXPl_hZQ&feature=youtu.be,,,,,Genetic evidence within the Spike gene of the SARS-CoV-2 genome suggest that the virus is a product of genetic manipulation,"""Coronavirus whistleblower speaks out about possible COVID origin on 'Tucker'""",,dr. li meng yan joins tucker carlson with insight on tucker carlson tonight. foxnews tuckersubscribe to fox news. https://bit.ly/2vbuvaswatch more fox ne .... ,9/15/20,"""coronavirus whistleblower, fox news whistleblower, chinese virologist, virologist, tucker coronavirus, tucker coronavirus whistleblower, Dr. Li-Meng Yan, tucker Dr. Li-Meng Yan, fox news Dr. Li-Meng Yan, fox news, fox news channel, fox news media, fox news network, tucker, tucker carlson, tucker carlson monologue, tucker carlson monologue tonight, tucker carlson tonight, tucker monologue, tucker monologue tonight, tucker tonight, coronavirus outbreak, Li-Meng Yan, virus"""
972,post,https://healthfeedback.org/claimreview/cloth-masks-are-effective-at-reducing-virus-transmission-because-it-spreads-in-respiratory-droplets-which-are-larger-than-smoke-particles-and-the-pores-in-fabric/,https://archive.is/Qca7p,https://www.facebook.com/108082977404530/posts/195887261957434,,,,,"Cloth masks cannot block smoke particles which are larger than viruses, so masks cannot stop the spread of the virus","""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
973,post,https://www.factcheck.org/2020/09/viral-post-falsely-attributed-to-golfer-bubba-watson/,,https://www.facebook.com/fred.childs.5/posts/10214972316340070,https://www.facebook.com/larry.henrichs.1/posts/10216677979277031,https://www.facebook.com/photo.php?fbid=3309136079152031&set=a.194933613905642&type=3&theater,,,PGA golfer Bubba Wallace wrote Facebook post that criticizes measures taken to mitigate the spread of COVID-19.,"""Fred Childs""",see more of fred childs on facebook. ,hooray for bubba watson. he put into words what i think most of us are feeling. thank you sir. this is from bubba watson ... pro golfer and stand up .... ,,""""""
974,post,https://healthfeedback.org/claimreview/covid-19-test-kits-were-not-purchased-in-2017-and-2018-claim-is-based-on-mislabeled-data/,https://archive.vn/VAdYH,https://www.facebook.com/BenSwannRealityCheck/posts/3478992572165668,,,,,The World Integrated Trade Solutions (WITS) website shows that COVID-19 test kits were being sold in 2017 and 2018,"""Ben Swann""",part of what infuriates trump supporters is that they believe there is lot of evidence but there is no remedy for that evidence. media continues to say that there is no evidence of election fraud. ,this is incredibly strange. world bank website shows covid-19 testing kits purchased by countries in 2017 and in 2018. i have verified that this is in .... ,,""""""
975,article,https://healthfeedback.org/claimreview/misinterpreted-new-york-times-report-leads-to-false-claim-that-the-number-of-covid-19-cases-in-the-u-s-is-inflated-by-up-to-90/,https://archive.vn/TBFnD,https://redstate.com/michael_thau/2020/09/03/ny-times-up-to-90-testing-positive-for-c19-virus-not-infectious-but-problem-actually-much-worse-n252966,https://townhall.com/tipsheet/bronsonstocking/2020/08/29/it-looks-like-a-lot-of-those-positive-covid-tests-should-have-been-negative-n2575305,https://www.facebook.com/DeaceBlazeTV/posts/3364760303588046,https://www.facebook.com/OfficialLizWheeler/videos/718335952056658/,,COVID-19 case numbers in the U.S. are inflated due to the high sensitivity of the RT-PCR diagnostic test,"""NY Times Raises Questions About COVID Testing [Updated]""",man who reads nothing at all is better educated than man who reads nothing but newspapers. thomas jefferson editors note after review we are retracting this article. in light of interpretation of this new york times article by health feedback article has been ruled as false misleading. we regret convenience to our readers. new york times just reported something incredible. you know those standard pcr tests for covid-19 virus that everybody in america ha. ,,9/3/20 8:30,"""coronavirus, covid-19, NY Times, PCR Test"""